Tag	Perf_Norm	Window_Power
306	1.0274427846	125.371586
307	1.0287454233	125.380006
308	1.0276184017	125.269422
309	1.0429135902	125.145631
310	1.0425286043	125.043523
311	1.0141806053	124.264762
312	1.0269626616	124.128119
313	1.0274144452	124.041476
314	1.02015498	124.040821
315	1.0161781147	124.018764
316	1.0126836919	123.980875
317	1.0152941128	124.028779
318	1.0171400415	124.226033
319	1.0186425018	124.139971
320	1.0165573856	124.202939
321	1.0190542807	124.229608
322	1.0197157021	124.200332
323	1.0339947054	124.171841
324	1.038556042	123.983351
325	1.0220734214	123.723278
326	1.0201726291	123.609345
327	1.0184775751	123.606191
328	1.0289538845	123.496537
329	1.0215462677	123.469993
330	1.0209080087	123.454429
331	1.0192633806	123.491761
332	1.0284102247	123.671398
333	1.0293982723	123.712924
334	1.0243292128	123.767374
335	1.0294832569	123.850161
336	1.0349632213	123.884406
337	1.0339327822	123.87959
338	1.0265753897	123.934132
339	1.0337024025	124.143339
340	1.0479970715	124.340413
341	1.0635636194	124.309768
342	1.0608649865	124.227601
343	1.045412536	123.972533
344	1.0437948691	123.934368
345	1.0432354091	123.932589
346	1.0447725625	123.905375
347	1.0491759984	123.873199
348	1.0656102773	123.880218
349	1.038687385	123.417383
350	1.0427686658	123.449032
351	1.0433946881	123.406935
352	1.0257543868	123.229134
353	1.0428602731	123.091811
354	1.0401599258	123.028925
355	1.0403482838	123.00288
356	1.0535237976	122.836609
357	1.0612895064	122.690445
358	1.0670550838	122.646847
359	1.0652681535	122.609379
360	1.0650711558	122.54802
361	1.0698036047	122.506621
362	1.0726489437	122.495526
363	1.0818197569	122.423579
364	1.0875725597	122.324051
365	1.0760156877	122.210265
366	1.0787138163	122.094816
367	1.0858654034	121.864204
368	1.0902147826	121.79498
369	1.0990139224	121.516001
370	1.1115499669	121.271645
371	1.09481488	120.826796
372	1.0958434701	120.667601
373	1.0922500442	120.613568
374	1.0938278074	120.630705
375	1.0901986463	120.59027
376	1.0958183915	120.546968
377	1.0917396992	120.496151
378	1.0929335858	120.427022
379	1.1055110133	120.337499
380	1.0995099128	120.267033
381	1.1081012638	120.192489
382	1.0966836013	120.103419
383	1.0918563514	120.142311
384	1.0881210268	120.131627
385	1.0800969686	120.106562
386	1.0652365532	120.140598
387	1.0625362395	120.143626
388	1.0610919373	120.073555
389	1.0536804881	120.072532
390	1.0522856706	120.049357
391	1.0447652003	120.02931
392	1.0279466078	119.949829
393	1.022073186	119.923034
394	1.0202739854	119.962786
395	1.0171778611	119.952724
396	0.999688737	120.006893
397	0.9947727373	120.055923
398	0.9899847525	120.114093
399	0.9855968814	120.073343
400	0.9899210476	120.060051
401	0.9893403751	120.049273
402	0.985980052	120.098072
403	0.988240012	120.075169
404	0.9878073903	120.072933
405	0.9899836431	120.124696
406	0.9878202994	120.057434
407	0.9857890718	120.007757
408	0.9866574416	120.05242
409	0.9871838893	120.09602
410	0.9677209897	119.892879
411	0.9952610965	120.476073
412	1.0103348813	120.621766
413	0.9900126885	120.480445
414	0.9965392955	120.487213
415	0.9971441724	120.49733
416	0.9933985945	120.569903
417	0.9869485679	120.597131
418	0.9955520211	120.570209
419	0.994744734	120.578181
420	1.004743509	120.524576
421	0.9920111056	120.328126
422	0.9843309192	120.163866
423	0.9804118421	120.065796
424	0.9850265631	120.142485
425	0.9918498767	120.307358
426	0.9931287816	120.133876
427	0.9995796823	119.984052
428	1.0038725171	119.861228
429	1.0065090587	119.857422
430	1.006769257	119.838628
431	1.0016976426	119.812178
432	1.0010659726	119.829295
433	0.9943858016	119.905421
434	1.0005713605	119.889985
435	0.999744172	119.883181
436	0.9961898095	119.92944
437	0.9951171471	119.940959
438	0.9890333815	119.721684
439	0.9873034999	119.486651
440	0.9856642506	119.444995
441	0.9880102038	119.350986
442	0.9859907087	119.351897
