Tag	Perf_Norm	Window_Power
202	0.7752151309	94.611446
203	0.77573425	94.721045
204	0.7794262083	94.829193
205	0.7683297932	95.13641
206	0.7774874621	95.333075
207	0.7788454686	95.512724
208	0.7784460272	95.690632
209	0.7894172177	95.888431
210	0.7928021823	96.001761
211	0.7919327704	96.092703
212	0.7944346409	96.189015
213	0.780597773	96.363161
214	0.7837549465	96.480684
215	0.7835937176	96.579863
216	0.7784181584	96.831445
217	0.791403398	97.09843
218	0.7922699188	97.217352
219	0.7870453455	97.386971
220	0.7852560284	97.536138
221	0.7845840512	97.655425
222	0.7812226859	97.91416
223	0.7813617945	98.093853
224	0.7818224194	98.281109
225	0.7877154738	98.487254
226	0.7902654843	98.694216
227	0.791188415	98.868508
228	0.7963345927	99.17461
229	0.797206694	99.413508
230	0.7967398498	99.597202
231	0.8036477111	99.92577
232	0.8409408501	100.791717
233	0.8406183253	100.986792
234	0.8390017677	101.296866
235	0.8363178257	101.529541
236	0.8382091042	101.816952
237	0.8418453586	102.121936
238	0.8284439698	102.600472
239	0.8302091161	102.748808
240	0.8316574188	102.981667
241	0.8340406536	103.134728
242	0.834409873	103.300789
243	0.822320872	103.713637
244	0.828459501	103.994412
245	0.8297546095	104.134721
246	0.8274252296	104.421888
247	0.8362769806	104.683701
248	0.8381352469	104.838978
249	0.8417913019	104.992826
250	0.8370402626	105.306875
251	0.8368248762	105.510608
252	0.8426221211	105.749559
253	0.8464012828	105.997482
254	0.8429650517	106.426733
255	0.8462115801	106.861055
256	0.8472134107	107.147239
257	0.8455694214	107.502447
258	0.8444089505	108.067147
259	0.852034475	108.587488
260	0.8635363826	109.614994
261	0.8712445721	110.718726
262	0.8711559904	111.187064
263	0.8722375614	111.522352
264	0.8752183447	112.296188
265	0.8742908084	112.941017
266	0.8764447056	113.334114
267	0.8783321518	113.681519
268	0.8825964455	114.32295
269	0.8883489457	114.768376
270	0.8841010909	115.207629
271	0.8876415358	115.771481
272	0.8844008904	116.122805
273	0.8851628277	116.564075
274	0.8867072424	116.968273
275	0.8905394522	117.360591
276	0.8836636283	117.807492
277	0.884284171	118.045406
278	0.8813034886	118.357001
279	0.89198204	119.003861
280	0.8926213412	119.379723
281	0.8927791074	119.901191
282	0.8967523757	120.141861
283	0.9130362505	120.746502
284	0.9164302583	120.89181
285	0.9196326471	121.076649
286	0.9301553148	121.450109
287	0.9383167335	121.791944
288	0.9437816037	122.051946
289	0.9473843751	122.238374
290	0.9572200051	122.665649
291	0.9631750498	123.067104
292	0.9766686174	123.722532
293	1.0062809313	124.7925
294	1.006939428	124.986925
295	1.0152036821	125.291384
296	1.0159430958	125.491542
297	1.0214213456	125.695849
298	1.0245775442	125.840573
299	1.0279493309	126.079524
300	1.0565026983	127.249718
301	1.0631226942	127.443127
302	1.0704708419	127.545847
303	1.0737488025	127.553282
304	1.0688508218	127.523412
305	1.0800472149	127.772677
306	1.0811813298	127.791614
307	1.0755836039	127.670346
308	1.078635824	127.663187
309	1.0793206095	127.648035
310	1.0708769059	127.567598
311	1.0736056263	127.662432
312	1.0754642623	127.818426
313	1.0974851398	128.481584
314	1.0868191276	128.434938
315	1.0884106739	128.521247
316	1.1063864091	128.899554
317	1.1073600685	128.959067
318	1.1105855188	129.006087
319	1.107810709	128.949904
320	1.1055434204	128.926009
321	1.0988361875	128.983896
322	1.1046751515	129.044243
323	1.1064392556	129.032911
324	1.0944001091	128.812535
325	1.0943750306	128.798932
326	1.0910641922	128.69167
327	1.0814371243	128.485974
328	1.0840754812	128.502537
329	1.0795093709	128.383428
330	1.0808307681	128.385896
331	1.0776885543	128.279404
332	1.0822694226	128.273057
333	1.0841025768	128.228189
334	1.0940954351	128.335477
335	1.0964180578	128.309067
336	1.102414183	128.290454
337	1.1111426927	128.369101
338	1.1332957536	128.359939
339	1.117531166	128.072946
340	1.1099667242	127.959484
341	1.1016953095	127.811355
342	1.0963843733	127.676246
